,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
21,0.799,0.609,3,-6.729,1,0.0448,0.0158,0.0,0.0642,0.758,130.031,3f26GAn3yOXfoclLyN8AdD
22,0.83,0.858,6,-3.18,0,0.0554,0.134,1.72e-05,0.0567,0.949,119.974,7hNYvX0qAKrxtVr1jGDmvR
23,0.835,0.718,0,-6.614,1,0.0818,0.363,0.000919,0.0625,0.64,139.964,2qJAzSE6uC94oH2NRoPrGl
24,0.82,0.907,7,-4.517,1,0.0607,0.655,4.85e-05,0.0816,0.834,126.062,4c8erEn1DjLoDp0CRLkNnq
25,0.803,0.784,0,-4.613,1,0.109,0.295,0.0,0.0596,0.708,139.99,68dJvzk77M8ojn1YZdM105
26,0.791,0.558,7,-7.155,0,0.0661,0.276,0.0,0.0859,0.872,95.077,3APdIdF8H0jsxSuGOqXedS
27,0.703,0.695,4,-5.518,1,0.118,0.654,0.0,0.103,0.683,92.003,1QufGJee7k9v4Cfp2NxXbv
28,0.726,0.664,2,-6.674,1,0.0331,0.636,0.0,0.0964,0.831,121.922,1sYC1fG7s4p0pTykrJqmgW
29,0.707,0.501,4,-7.389,1,0.0372,0.387,1.81e-06,0.095,0.542,93.978,5b9x5sRIzAgXQw0dhGORO1
30,0.76,0.547,7,-9.386,1,0.0351,0.0957,1.04e-05,0.12,0.667,95.023,648GXyKI62FhbeBq0levWr
31,0.774,0.719,4,-4.984,0,0.165,0.406,0.0,0.18,0.699,169.952,36lwb3WLh089A704fJDT9M
32,0.783,0.671,5,-8.572,1,0.064,0.294,0.0,0.134,0.651,141.996,27JK4mF2SMhoVyQo6SgeEA
33,0.701,0.419,4,-9.778,1,0.0698,0.841,8.72e-05,0.0946,0.61,116.076,1fZSEDgHomhPmiDk1cyV2n
34,0.54,0.705,9,-6.731,1,0.0354,0.688,0.0,0.297,0.373,104.973,73uS7CoWc6Ag3y2Tu20VCG
35,0.659,0.905,6,-6.161,0,0.0312,0.0245,0.0108,0.217,0.96,128.023,0A6VfcrxBpLSCh6fydzOVl
36,0.722,0.335,1,-9.943,1,0.136,0.12,0.0,0.0747,0.266,85.034,4hOsYVSWKWP71u3yQbcqZB
37,0.703,0.786,8,-6.779,0,0.0483,0.198,0.000712,0.101,0.647,93.987,5J1htd0xIGQ2L7RRucBAo6
38,0.745,0.605,9,-7.091,1,0.0299,0.0267,0.0,0.098,0.963,115.942,0gWQyG8QoBmB3HmvGugBWH
39,0.622,0.779,9,-5.799,1,0.037,0.102,0.000934,0.145,0.761,100.013,6ZoCBDOB308GqUdt2AJrV2
40,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,3ZFTkvIE7kyPt6Nu3PEa7V
41,0.845,0.207,11,-15.373,0,0.392,0.914,1.62e-06,0.134,0.866,95.945,4Os3dG99565BnXqMD1JbrR
42,0.676,0.544,7,-10.893,1,0.0568,0.566,0.0,0.341,0.533,88.969,1XFZMenJ30FfGOsj8X5sqf
43,0.778,0.812,4,-8.561,0,0.046,0.0573,8.28e-06,0.243,0.791,99.962,6M2UnI1LnXuXlWU54CKmKx
44,0.786,0.667,5,-8.272,1,0.054,0.0112,0.053,0.074,0.688,102.046,66Nmp3ztIMqX1j8yYtWl1X
45,0.802,0.763,0,-6.456,1,0.0336,0.22,0.000396,0.128,0.789,120.078,0JX7Es2j556FwtR6YqMKzP
46,0.595,0.817,11,-6.187,0,0.0474,0.000712,0.0386,0.142,0.483,144.961,5ZsAhuQ24mWHiduaxJqnhW
47,0.913,0.622,7,-7.178,1,0.177,0.125,0.0,0.0789,0.781,110.011,4obyqyCX0Vx839PTsz1OGf
48,0.684,0.405,6,-7.259,0,0.0368,0.7,0.0,0.188,0.477,141.933,7ezrw69QvBySLnHbpNCs7z
49,0.846,0.902,9,-3.612,1,0.113,0.22,0.0,0.0683,0.934,133.006,5c4mS0wVYTmRrE7S9ZmcyX
50,0.778,0.81,0,-5.889,0,0.115,0.064,1.15e-06,0.104,0.723,141.968,12Xzqmo4Llul22xTbz1jhm
51,0.725,0.617,1,-5.256,0,0.146,0.357,0.0,0.0879,0.649,104.93,3SIQL96TkGMV5OWMPj0nbp
52,0.771,0.659,7,-6.1,1,0.0674,0.216,0.0,0.102,0.587,92.008,30PPEJ1pEhtVnrgVNK5MEw
53,0.702,0.635,5,-7.337,0,0.0343,0.437,0.0,0.106,0.507,133.017,7sjKPajt4ktF2qIaANqe0d
54,0.678,0.622,5,-7.988,0,0.0695,0.138,2.32e-06,0.122,0.535,100.005,5iyNH1Dmxif1k4Nl1gMeuh
55,0.774,0.781,10,-4.426,1,0.104,0.341,0.0,0.111,0.469,100.017,7oDykOViQGiV9M3enF7u4Y
56,0.636,0.647,0,-6.97,0,0.0436,0.422,0.0,0.251,0.44,105.914,1ccZZf0IQi5y0bHMl2aGDF
57,0.804,0.859,0,-11.891,1,0.108,0.0724,2.93e-06,0.0426,0.73,91.989,1jSITyxOyMX0MMG5DDau4w
58,0.77,0.666,4,-7.232,0,0.0608,0.0406,4.1e-06,0.183,0.74,136.004,1W9oNJOyyY1r3clKA1DlZu
59,0.748,0.911,4,-4.976,0,0.111,0.288,0.0,0.929,0.323,110.04,53VjIYfHj8Wd4X0PJbVJhp
60,0.739,0.664,2,-10.582,1,0.0338,0.539,1.14e-06,0.0856,0.878,106.021,5u4q3iqZ9IMbXaR7bsGYbW
61,0.512,0.752,4,-4.857,0,0.0534,0.305,0.0,0.708,0.428,127.965,5lrA2NzUxmBjKr2tCZfMtl
62,0.778,0.599,2,-4.758,1,0.032,0.0705,0.0,0.59,0.949,116.951,46elU7IBKWf55D5sjHGqO7
63,0.775,0.327,11,-7.241,1,0.0557,0.841,0.0,0.0821,0.595,91.05,4cktbXiXOapiLBMprHFErI
64,0.697,0.683,1,-2.881,0,0.117,0.0372,0.0,0.137,0.603,96.133,2BgEsaKNfHUdlh97KmvFyo
65,0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079,6IQCmIGaOxzjNNcwScETVD
66,0.767,0.516,7,-7.989,1,0.0457,0.557,0.0,0.108,0.67,127.942,6yipH0hUeAf4YPK40k1oIY
67,0.603,0.69,4,-6.725,0,0.0447,0.101,0.0,0.316,0.42,133.968,0ANM7OVho2pqsFguo832qb
68,0.528,0.823,6,-5.294,1,0.0407,0.0202,0.0,0.217,0.686,125.992,19GqnCuVdOlSPHp6rHdYR2
69,0.657,0.652,10,-7.247,1,0.05,0.37,0.0,0.238,0.665,109.885,7z8XCViP5KT8O7HqoCsRTV
70,0.776,0.795,0,-5.454,1,0.0485,0.121,0.0,0.138,0.569,117.989,6wXPV6dNRAhFavrRaCdMXT
71,0.712,0.718,11,-8.286,0,0.0444,0.049,2.02e-05,0.128,0.59,106.012,21Af1fetSINZpmAS3si8DW
72,0.799,0.542,0,-7.142,1,0.0308,0.0858,1.5e-06,0.126,0.673,107.993,298atiKYvG84VfbXNbZiX5
73,0.581,0.396,9,-11.34,1,0.0668,0.723,3.63e-06,0.165,0.837,86.602,5eIYbtHTZomvKPucc1oJoo
74,0.622,0.758,7,-6.641,1,0.11,0.153,0.0,0.0622,0.436,90.951,7Esjmr77c4SU5IlMtym7Ho
75,0.84,0.743,0,-7.66,1,0.0599,0.0307,0.000161,0.421,0.826,106.996,5orNEFkFG4RP24goF02AuD
76,0.675,0.582,9,-8.891,1,0.0277,0.661,5.56e-06,0.0854,0.538,120.991,3vqJY3pVELLIxqXXyI08yr
77,0.656,0.558,6,-6.783,1,0.0263,0.513,1.84e-06,0.0953,0.679,135.915,6bjYZmUWCJB16wNEeuZ3Tl
78,0.7,0.502,11,-8.958,1,0.0425,0.603,0.0,0.08,0.407,129.977,0Qxis7LXvwqhCO2qOKCmLX
0,0.548,0.506,6,-13.684,0,0.0495,0.492,0.000442,0.189,0.641,85.628,4T3VAoUDvCJkX5OSYXnng0
1,0.829,0.665,2,-8.128,1,0.0868,0.242,1.75e-05,0.123,0.861,122.043,5EYZZvmNAH5VZCwuzYJqoA
2,0.645,0.459,6,-9.484,1,0.0296,0.185,0.0,0.132,0.379,119.987,3fWMFwaJil8fD14JCgwbcL
3,0.247,0.556,11,-7.514,1,0.0376,0.635,0.000436,0.146,0.371,168.823,7fyIuR4aaWb6iltlAoSkxF
4,0.697,0.438,8,-8.411,1,0.0289,0.397,0.0,0.293,0.58,117.954,5FXMRdJjKq1BIX4e8Eg9mK
5,0.356,0.47,5,-8.929,1,0.0278,0.518,1e-05,0.0807,0.167,93.895,7uNnlVit5qDvfOje0pqICF
6,0.382,0.632,8,-6.393,1,0.0411,0.391,0.000486,0.0922,0.716,78.936,0gPgdRfB4jdGrlyXS0Vx78
7,0.718,0.697,2,-6.474,0,0.135,0.634,1.53e-05,0.0563,0.62,143.907,0IudGhdeJZwJ0Ps6ndtQDt
