,id,popularity,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
61,29wRh7aUncjPkqWVkZStH2,38,0.793,4,-7.368,1,0.0562,0.15,0.0,0.333,0.543,81.994,274225,4
62,2qPUnoasNe4Ep43emVXEig,70,0.673,6,-6.403,0,0.258,0.297,0.0,0.206,0.659,86.776,211160,4
63,3pL1D9trWSLzE2Tmg0aLqa,26,0.787,7,-4.488,1,0.103,0.141,1.56e-06,0.122,0.846,130.05,215077,4
64,1mLjtKr1Mn1cnsTTozdeLK,40,0.724,2,-5.525,1,0.11,0.116,0.0005,0.0676,0.343,95.01,140764,4
65,0sGSvPQ8d2CXyMUWG8vFxT,58,0.568,10,-5.939,1,0.0281,0.0164,0.0,0.122,0.316,129.951,280615,4
66,6pzlnyHTVYi5FOmrgOmC95,70,0.392,4,-8.2,1,0.0246,0.478,0.0,0.122,0.257,91.796,238370,4
67,5SVpD60u9vjoQ2OeoKsTkb,54,0.705,10,-3.893,0,0.0522,0.00452,0.0,0.0868,0.285,94.985,180176,4
68,0OvLWPmyhxdAV0OZNHDeTz,40,0.923,7,-3.306,1,0.253,0.101,0.0,0.599,0.508,113.953,217242,3
69,7heMX7gyHP0mhTlNgd7Lxd,64,0.65,0,-6.95,0,0.135,0.0115,0.00014,0.34,0.392,130.487,179658,5
70,39GcR1iJpR2RX629O0zuW5,50,0.738,9,-4.606,0,0.0368,0.00147,0.0,0.113,0.813,126.007,263810,4
71,4ZTx87kAgEwlPMzoojFZWg,64,0.541,10,-5.525,1,0.0313,0.34,4.66e-06,0.102,0.309,83.978,264806,4
72,7IC7D8HIUgBqPiKDpOFBQt,54,0.598,4,-8.178,1,0.0551,0.345,1.18e-05,0.183,0.604,177.963,314149,4
73,6N4Hz7OhMhCf6oa7yVGbfQ,28,0.666,10,-6.176,0,0.0483,0.616,0.0,0.122,0.394,88.969,319551,4
74,6TeQwZim9noPvf96kNwldZ,51,0.81,2,-6.076,1,0.0456,0.0735,6.61e-06,0.552,0.882,112.004,207394,4
75,2TktNdu8PMfhApbWHDFSgZ,49,0.75,1,-5.813,1,0.0564,0.235,0.0,0.18,0.667,113.929,255240,4
76,6GVv6Zn0zfN36sKDJY1axO,47,0.67,10,-6.414,1,0.102,0.345,0.0,0.187,0.524,120.009,261480,4
77,3FHl1QYu76zguwjqhqcglX,57,0.821,1,-7.794,0,0.0573,0.0189,0.0,0.0863,0.184,170.022,312158,4
78,5cjVsWqIkBQC7acTRhL0RO,62,0.666,4,-4.847,0,0.0554,0.143,2.81e-06,0.237,0.763,96.987,187983,4
79,5sqPE9h98DkO5ms20NUiUg,53,0.848,2,-4.724,1,0.0522,0.0787,9.16e-05,0.104,0.781,123.02,199265,4
80,1YMLgvsQdE27r30q0fsLeV,62,0.688,9,-5.136,1,0.0319,0.346,0.0439,0.262,0.726,135.984,310000,4
81,4sNiMTu47WkUgW87qeUlWF,62,0.83,4,-5.488,0,0.0505,0.404,2.5e-05,0.124,0.771,105.012,220382,4
82,3gHyNUxOEZq4VltRl2xUW4,56,0.895,9,-4.002,0,0.029,0.0367,6.61e-05,0.307,0.965,141.558,169693,4
83,1rinwuHEJlACLuDxihAlCu,62,0.705,10,-7.302,1,0.0488,0.548,0.0,0.113,0.548,81.463,241894,4
84,4wANB882g1ZhF2V8ugksY1,54,0.813,7,-6.099,1,0.0381,0.545,1.68e-05,0.105,0.847,139.998,210346,4
85,7cQtGVoPCK9DlspeYjdHOA,52,0.692,9,-4.718,0,0.0577,0.206,0.0,0.124,0.487,102.015,225938,4
86,4fgJe7zBjVXvs8HxtE21Y9,69,0.898,9,-3.791,1,0.171,0.309,0.0,0.0886,0.648,88.335,299333,4
87,0l9igAjODdNvDY75UYk2ww,0,0.765,3,-2.625,0,0.184,0.319,0.0,0.332,0.475,157.487,251429,3
88,7kfGvOOykB24QxFKZq5LUV,51,0.746,11,-6.108,0,0.0513,0.142,1.63e-05,0.277,0.508,105.064,222676,4
89,6CRo6VLRa53RCctMuSZf83,30,0.485,6,-13.564,1,0.278,0.253,0.000159,0.0819,0.806,68.094,243043,4
90,3i11e2jzUtO3jChiFl3v9x,61,0.46,1,-8.594,0,0.0246,0.826,0.00202,0.139,0.33,98.007,331677,4
91,1We89SAonMk70QBbfXERxa,68,0.627,7,-6.187,1,0.0307,0.497,0.0,0.133,0.557,82.008,226941,4
92,6MXXY2eiWkpDCezVCc0cMH,69,0.631,7,-5.488,1,0.116,0.0791,0.000105,0.149,0.515,84.164,195093,4
93,6fScgF2Y63ScU73nYju0ny,68,0.496,8,-7.421,1,0.0262,0.588,0.0,0.132,0.453,89.839,251819,4
94,7CKRL92JcjQ8sxFPMHKYWz,20,0.595,7,-11.152,1,0.0747,0.863,0.00221,0.31,0.393,104.427,278773,4
